PRODDW3  ,EDWDBENGUSR                   ,TIME_ZONES_21_APR_2009        ,EDWMART                       ,TIME_ZONES_21_APR_2009        ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MEDIA_TYPES_21_APR_2009       ,EDWMART                       ,MEDIA_TYPES_21_APR_2009       ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MESSAGE_DIRECTION_15_APR_2009 ,EDWMART                       ,MESSAGE_DIRECTION_15_APR_2009 ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MESSAGE_DIRECTION_16_APR_2009 ,EDWMART                       ,MESSAGE_DIRECTION_16_APR_2009 ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MESSAGE_DIRECTION_17_APR_2009 ,EDWMART                       ,MESSAGE_DIRECTION_17_APR_2009 ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MESSAGE_DIRECTION_18_APR_2009 ,EDWMART                       ,MESSAGE_DIRECTION_18_APR_2009 ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MESSAGE_DIRECTION_19_APR_2009 ,EDWMART                       ,MESSAGE_DIRECTION_19_APR_2009 ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MESSAGE_DIRECTION_20_APR_2009 ,EDWMART                       ,MESSAGE_DIRECTION_20_APR_2009 ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MESSAGE_DIRECTION_21_APR_2009 ,EDWMART                       ,MESSAGE_DIRECTION_21_APR_2009 ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_15_APR_2009         ,EDWMART                       ,MTH_DAILY_15_APR_2009         ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_16_APR_2009         ,EDWMART                       ,MTH_DAILY_16_APR_2009         ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_17_APR_2009         ,EDWMART                       ,MTH_DAILY_17_APR_2009         ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_18_APR_2009         ,EDWMART                       ,MTH_DAILY_18_APR_2009         ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_19_APR_2009         ,EDWMART                       ,MTH_DAILY_19_APR_2009         ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_20_APR_2009         ,EDWMART                       ,MTH_DAILY_20_APR_2009         ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_21_APR_2009         ,EDWMART                       ,MTH_DAILY_21_APR_2009         ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_MEASURES_15_APR_2009,EDWMART                       ,MTH_DAILY_MEASURES_15_APR_2009,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_MEASURES_16_APR_2009,EDWMART                       ,MTH_DAILY_MEASURES_16_APR_2009,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_MEASURES_17_APR_2009,EDWMART                       ,MTH_DAILY_MEASURES_17_APR_2009,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_MEASURES_18_APR_2009,EDWMART                       ,MTH_DAILY_MEASURES_18_APR_2009,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_MEASURES_19_APR_2009,EDWMART                       ,MTH_DAILY_MEASURES_19_APR_2009,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_MEASURES_20_APR_2009,EDWMART                       ,MTH_DAILY_MEASURES_20_APR_2009,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,MTH_DAILY_MEASURES_21_APR_2009,EDWMART                       ,MTH_DAILY_MEASURES_21_APR_2009,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,PKG_CLONE                     ,EDWMART                       ,PKG_CLONE                     ,                                                                                                                                ,SYNONYM
PRODDW3  ,EDWDBENGUSR                   ,PROGRAMS_15_APR_2009          ,EDWMART                       ,PROGRAMS_15_APR_2009          ,                                                                                                                                ,SYNONYM
